epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.30965,1.74241,0.34091,1,1.52511,0.00014443,0.00014443,0.00014443
2,2.49436,1.54899,0.40909,1,1.3538,0.000285121,0.000285121,0.000285121
3,3.6308,1.43607,0.52273,1,1.26236,0.000410415,0.000410415,0.000410415
4,4.76726,1.2453,0.61364,1,1.05091,0.000520309,0.000520309,0.000520309
5,5.93782,1.06033,0.68182,1,0.97265,0.000614805,0.000614805,0.000614805
6,7.09104,0.87775,0.56818,1,0.9248,0.000693903,0.000693903,0.000693903
7,8.26955,0.8385,0.61364,1,0.81672,0.000757602,0.000757602,0.000757602
8,9.4241,0.79512,0.70455,1,0.73868,0.000726038,0.000726038,0.000726038
9,10.5726,0.77829,0.63636,1,0.78766,0.000671044,0.000671044,0.000671044
10,11.7275,0.72499,0.79545,1,0.66413,0.000616049,0.000616049,0.000616049
11,12.903,0.6116,0.77273,1,0.56105,0.000561055,0.000561055,0.000561055
12,14.0445,0.6248,0.79545,1,0.64348,0.00050606,0.00050606,0.00050606
13,15.1592,0.5063,0.79545,1,0.62047,0.000451066,0.000451066,0.000451066
14,16.3428,0.57503,0.77273,1,0.62017,0.000396071,0.000396071,0.000396071
15,17.4601,0.52006,0.79545,1,0.57793,0.000341077,0.000341077,0.000341077
16,18.5871,0.48518,0.79545,1,0.6525,0.000286083,0.000286083,0.000286083
17,19.702,0.43152,0.79545,1,0.63305,0.000231088,0.000231088,0.000231088
18,20.8305,0.50401,0.79545,1,0.52033,0.000176094,0.000176094,0.000176094
19,21.9794,0.52549,0.81818,1,0.67537,0.000121099,0.000121099,0.000121099
20,23.0977,0.54822,0.79545,1,0.72094,6.61045e-05,6.61045e-05,6.61045e-05
